338;541;11;529;0.337922;467
1290;2270;10;875;7.409902;823
1442;2403;16;915;9.814334;884
752;1264;26;931;2.024369;806
402;695;11;550;0.485852;494
933;1632;13;568;3.392669;550
1199;2078;31;1193;6.186639;1068
278;478;11;574;0.210129;564
90;135;10;196;0.019966;188
875;1522;10;653;2.884900;604
898;1562;10;627;3.069680;594
2132;3702;37;1764;26.644648;1590
418;723;14;427;0.534360;399
4045;7094;12;1520;145.524665;1459
3031;5239;12;1336;66.646827;1290
2961;5100;16;1580;62.772042;1440
1359;2458;13;789;8.459466;714
1709;2963;18;969;15.135360;926
3263;5783;89;3462;82.062892;3135
1704;2991;12;892;14.984263;869
957;1554;10;637;3.581077;607
237;390;11;383;0.152591;353
402;690;16;411;0.488152;393
391;666;16;412;0.465211;381
191;302;11;333;0.095743;311
317;476;11;418;0.281002;408
777;1358;13;705;2.212965;630
